time,value
1533061889.319,900,921
1533061889.327,917,932
1533061889.336,887,914
1533061889.342,897,918
1533061889.358,910,922
1533061889.366,911,908
1533061889.374,882,906
1533061889.383,897,915
1533061889.395,887,920
1533061889.403,891,918
1533061889.411,910,925
1533061889.419,894,912
1533061889.442,890,914
1533061889.454,891,901
1533061889.462,888,915
1533061889.472,886,902
1533061889.479,910,916
1533061889.487,886,910
1533061889.501,882,909
1533061889.508,882,892
1533061889.516,882,889
1533061889.524,875,894
1533061889.532,888,898
1533061889.545,878,891
1533061889.554,875,902
1533061889.563,903,918
1533061889.575,899,902
1533061889.583,876,903
1533061889.59,874,899
1533061889.599,887,903
1533061889.605,891,903
1533061889.618,917,932
1533061889.626,873,892
1533061889.635,895,919
1533061889.642,888,901
1533061889.652,881,894
1533061889.659,899,897
1533061889.668,872,894
1533061889.675,893,902
1533061889.687,861,877
1533061889.696,862,884
1533061889.704,870,895
1533061889.717,884,897
1533061889.733,867,892
1533061889.742,880,887
1533061889.751,856,863
1533061889.758,875,885
